,BRITISH_COLUMBIA,CITY_OF_SURREY,CITY_CENTRE,CLOVERDALE,FLEETWOOD,GUILDFORD,NEWTON,SOUTH_SURREY,WHALLEY_EXCLUDING_CITY_CENTRE,WHALLEY_INCLUDING_CITY_CENTRE
      Multiple Aboriginal identities,1190,95,0,0,0,0,65,0,0,0
      Aboriginal identities not included elsewhere,1735,75,0,0,0,0,0,45,0,0
    Non-Aboriginal identity,2012545,224610,10700,26000,28440,28155,64285,31700,35325,46025
  Females in private households by Aboriginal identity,2198835,233535,10910,27400,29405,29410,66310,35125,34970,45880
    Aboriginal identity,119210,5755,645,900,510,810,1460,400,1040,1685
      First Nations (North American Indian) single identity,79620,3155,350,440,270,425,815,195,660,1015
      Métis single identity,35535,2295,275,425,205,350,470,195,365,640
      Inuk (Inuit) single identity,750,65,0,0,0,0,50,0,0,0
      Multiple Aboriginal identities,1290,165,20,20,20,0,90,0,0,20
      Aboriginal identities not included elsewhere,2010,75,0,0,0,0,30,0,0,0
    Non-Aboriginal identity,2079620,227775,10265,26495,28895,28605,64855,34730,33930,44195
Total population in private households by Registered or Treaty Indian status,4324455,463335,22180,54160,58190,58285,131800,67355,71370,93555
  Registered or Treaty Indian,121220,3355,550,335,215,350,755,240,910,1455
  Not a Registered or Treaty Indian,4203235,459985,21635,53820,57975,57930,131045,67120,70460,92095
  Males in private households by Registered or Treaty Indian status,2125625,229805,11270,26760,28785,28870,65490,32230,36400,47670
    Registered or Treaty Indian,59710,1460,275,135,50,115,300,140,430,710
    Not a Registered or Treaty Indian,2065915,228350,10995,26625,28735,28755,65185,32090,35965,46960
  Females in private households by Registered or Treaty Indian status,2198830,233535,10915,27400,29405,29410,66310,35130,34970,45885
    Registered or Treaty Indian,61510,1900,270,205,165,235,450,95,475,745
    Not a Registered or Treaty Indian,2137320,231635,10640,27195,29240,29175,65860,35030,34495,45135
Total population in private households by Aboriginal ancestry,4324455,463340,22185,54160,58190,58280,131800,67355,71370,93555
  Aboriginal ancestry,267090,13305,1165,2320,1075,1695,3150,1635,2265,3430
    First Nations (North American Indian) Aboriginal ancestry,202535,8935,840,1410,645,1245,2210,1010,1570,2410
    Métis ancestry,70195,4760,375,950,450,510,1020,655,800,1170
    Inuit ancestry,2575,145,0,0,0,0,125,0,0,0
  Non-Aboriginal ancestry only,4057370,450035,21020,51840,57115,56590,128650,65715,69105,90125
  Males in private households by Aboriginal ancestry,2125630,229805,11270,26765,28785,28870,65490,32225,36400,47675
    Aboriginal ancestry,128880,6165,540,1080,390,750,1460,840,1100,1640
      First Nations (North American Indian) Aboriginal ancestry,97805,4055,430,665,190,505,965,550,755,1180
      Métis ancestry,33530,2225,145,430,210,260,495,300,380,530
      Inuit ancestry,1235,80,0,0,0,0,80,0,0,0
    Non-Aboriginal ancestry only,1996745,223645,10730,25685,28395,28120,64030,31385,35305,46035
  Females in private households by Aboriginal ancestry,2198830,233530,10910,27400,29405,29410,66310,35125,34970,45880
    Aboriginal ancestry,138205,7145,625,1240,685,940,1690,795,1165,1790
      First Nations (North American Indian) Aboriginal ancestry,104725,4880,410,750,460,735,1250,460,820,1230
      Métis ancestry,36670,2535,230,525,240,250,530,355,415,645
      Inuit ancestry,1340,65,0,0,0,0,45,0,0,0
    Non-Aboriginal ancestry only,2060625,226390,10285,26160,28725,28470,64620,34330,33805,44090
Total population in private households by non-official languages spoken,1361445,239425,10965,12950,33645,31000,87590,17060,46210,57175
  Aboriginal languages,15015,180,40,0,0,35,60,0,25,65
    Algonquin,0,0,0,0,0,0,0,0,0,0
    Atikamekw,0,0,0,0,0,0,0,0,0,0
    Blackfoot,60,0,0,0,0,0,0,0,0,0
    Cree languages,1505,55,0,0,0,0,0,0,20,25
    Mi'kmaq,15,0,0,0,0,0,0,0,0,0
    Innu/Montagnais,0,0,0,0,0,0,0,0,0,0
    Ojibway,245,30,0,0,0,0,0,0,0,0
    Oji-Cree,0,0,0,0,0,0,0,0,0,0
    Carrier,1920,0,0,0,0,0,0,0,0,0
    Dene,115,0,0,0,0,0,0,0,0,0
    Tlicho (Dogrib),10,0,0,0,0,0,0,0,0,0
"    Slavey, n.o.s.",100,0,0,0,0,0,0,0,0,0
    Stoney,0,0,0,0,0,0,0,0,0,0
    Inuktitut,120,0,0,0,0,0,0,0,0,0
    Other Aboriginal languages,11170,85,0,0,0,0,50,0,0,0
  Non-Aboriginal languages,1346770,239245,10925,12945,33640,30970,87530,17050,46190,57110
    Italian,35890,2075,55,315,320,360,310,495,215,265
    Portuguese,18430,1525,70,165,260,215,245,200,370,435
    Romanian,8630,580,50,75,45,125,150,95,35,85
    Spanish,97200,8875,725,900,1100,1020,2270,1350,1515,2240
    Dutch,27480,2305,90,425,405,255,370,645,115,205
    Flemish,565,45,0,0,0,0,0,45,0,0
    German,96725,6205,355,865,640,800,955,2010,585,935
    Yiddish,535,20,0,0,0,0,0,0,0,0
    Danish,6615,525,0,30,55,0,90,280,70,70
    Norwegian,2900,305,0,30,20,55,30,145,25,25
    Swedish,4295,295,0,30,0,25,20,160,45,45
    Afrikaans,7640,380,0,50,20,40,30,215,10,20
    Gaelic languages,1190,65,0,15,0,0,0,0,0,0
    Bosnian,1315,115,0,0,40,15,0,45,0,15
    Bulgarian,2050,45,0,0,15,0,0,20,0,10
    Croatian,9185,740,25,55,95,180,115,125,140,160
    Czech,6000,470,15,40,70,105,95,105,40,60
    Macedonian,355,20,0,0,0,0,0,0,0,0
    Polish,18585,2790,325,255,335,835,320,370,350,670
    Russian,29640,1760,275,85,210,255,230,470,230,505
    Serbian,8260,445,50,50,30,90,25,145,55,110
    Serbo-Croatian,1495,100,0,0,10,70,0,0,0,0
    Slovak,3325,365,0,130,20,50,65,35,60,65
    Slovenian,1265,185,0,35,20,0,65,45,0,20
    Ukrainian,11410,1055,50,140,210,170,100,305,90,140
    Latvian,585,30,0,0,0,0,0,0,0,0
    Lithuanian,375,15,0,0,0,0,0,0,0,0
    Greek,8070,845,20,195,205,75,105,115,135,155
    Armenian,1240,170,0,55,0,85,0,15,0,0
    Albanian,1375,145,15,20,0,100,0,0,10,25
    Estonian,810,70,0,0,0,0,0,45,0,0
    Finnish,3750,325,0,50,15,40,30,80,105,115
    Hungarian,10040,965,60,125,85,175,210,160,155,215
    Turkish,4935,385,30,20,25,70,125,90,25,55
    Berber languages (Kabyle),0,0,0,0,0,0,0,0,0,0
    Oromo,255,45,0,0,0,30,0,0,0,0
    Somali,775,460,10,0,0,45,330,0,75,80
    Amharic,1570,215,0,0,40,75,45,0,35,40
    Arabic,17475,3665,285,105,410,1195,805,75,790,1075
    Hebrew,4500,140,0,0,0,15,0,45,45,55
    Maltese,215,0,0,0,0,0,0,0,0,0
    Tigrigna,845,135,0,0,20,35,25,0,0,40
"    Semitic languages, n.i.e.",720,425,0,0,0,375,15,0,35,35
    Bengali,2545,430,80,20,50,45,130,0,105,185
    Gujarati,9330,1460,30,80,130,125,845,60,185,220
    Hindi,66870,30170,785,975,3490,1890,14720,520,7790,8570
    Konkani,345,100,0,0,0,30,45,10,0,0
    Marathi,720,115,0,0,10,25,65,0,10,15
    Panjabi (Punjabi),213310,110250,1405,3920,13010,3675,59120,2020,27100,28510
    Sindhi,2465,280,0,35,50,0,100,40,40,50
    Sinhala (Sinhalese),2225,765,40,50,160,205,180,0,140,180
    Urdu,13375,6465,190,165,585,380,4435,110,585,780
    Nepali,1105,350,15,0,20,0,170,20,105,120
    Kurdish,1515,230,0,0,95,55,65,0,0,15
    Pashto,1270,550,0,0,0,0,415,0,85,105
    Persian (Farsi),39710,1975,245,100,330,305,630,175,180,430
"    Indo-Iranian languages, n.i.e.",1005,195,0,40,45,0,95,0,0,0
    Kannada,395,70,0,0,20,0,25,10,0,0
    Malayalam,2140,420,30,20,95,40,170,20,40,70
    Tamil,5350,900,20,120,145,115,335,0,160,180
    Telugu,855,125,0,20,40,15,20,10,20,25
    Japanese,33455,1755,145,135,275,425,275,255,240,385
    Korean,51145,8125,940,780,1610,3395,225,1065,110,1055
    Cantonese,169005,5680,515,400,1150,1385,1040,605,590,1100
    Fukien,2565,75,0,0,0,0,30,0,0,0
    Hakka,1135,145,0,0,35,55,0,0,0,0
    Mandarin,144610,13575,1110,585,1870,4400,1680,3175,745,1860
    Taiwanese,8940,1245,95,45,145,545,130,230,55,155
"    Chinese, n.o.s.",114225,7680,580,355,1490,2065,825,1750,620,1200
    Lao,1595,810,85,0,220,220,35,0,240,325
    Thai,3625,545,40,0,135,85,50,125,65,105
    Khmer (Cambodian),1425,525,45,190,115,40,40,0,90,135
    Vietnamese,30815,7825,625,525,1960,1825,1290,25,1580,2200
    Bisayan languages,4680,1010,150,20,130,230,235,35,220,365
    Ilocano,4315,940,30,215,150,280,120,0,140,170
    Malay,6760,875,100,80,235,160,195,40,75,170
"    Tagalog (Pilipino,Filipino)",99900,20325,1655,1030,4160,5360,4145,525,3450,5100
    Akan (Twi),525,240,25,0,25,30,100,0,40,75
    Lingala,355,100,0,0,85,0,0,0,0,0
    Rundi (Kirundi),110,20,0,0,0,0,10,0,0,0
    Rwanda (Kinyarwanda),120,55,0,0,0,0,45,0,0,0
    Swahili,3245,535,70,30,80,60,220,50,25,95
"    Bantu languages, n.i.e.",1070,85,0,0,0,20,10,20,20,20
"    Niger-Congo languages, n.i.e.",1445,515,45,55,25,90,155,0,140,185
"    African languages, n.i.e.",1010,460,0,0,110,35,155,0,90,90
    Creoles,1520,320,0,15,30,95,125,0,40,50
    Other non-Aboriginal languages,20175,3220,330,345,440,345,540,185,1035,1365
  Males in private households by non-official languages spoken,643770,116505,5320,6235,16445,14745,43005,7860,22885,28205
    Aboriginal languages,7215,85,0,0,0,0,35,0,0,40
      Algonquin,0,0,0,0,0,0,0,0,0,0
      Atikamekw,0,0,0,0,0,0,0,0,0,0
      Blackfoot,35,0,0,0,0,0,0,0,0,0
      Cree languages,765,10,0,0,0,0,0,0,0,0
      Mi'kmaq,0,0,0,0,0,0,0,0,0,0
      Innu/Montagnais,0,0,0,0,0,0,0,0,0,0
      Ojibway,115,0,0,0,0,0,0,0,0,0
      Oji-Cree,0,0,0,0,0,0,0,0,0,0
      Carrier,950,0,0,0,0,0,0,0,0,0
      Dene,60,0,0,0,0,0,0,0,0,0
      Tlicho (Dogrib),0,0,0,0,0,0,0,0,0,0
"      Slavey, n.o.s.",45,0,0,0,0,0,0,0,0,0
      Stoney,0,0,0,0,0,0,0,0,0,0
      Inuktitut,80,0,0,0,0,0,0,0,0,0
      Other Aboriginal languages,5270,50,0,0,0,0,30,0,0,0
    Non-Aboriginal languages,636755,116420,5285,6235,16440,14740,42975,7860,22875,28165
      Italian,17790,1080,0,140,180,200,160,280,100,125
      Portuguese,9025,720,40,60,105,110,130,105,175,215
      Romanian,4255,270,20,35,30,70,85,20,0,30
      Spanish,45585,4305,365,420,560,510,1105,640,700,1065
      Dutch,13025,1010,0,225,125,95,175,325,35,65
      Flemish,220,45,0,0,0,0,0,40,0,0
      German,47230,3000,230,415,255,385,455,950,310,540
      Yiddish,280,0,0,0,0,0,0,0,0,0
      Danish,3275,285,0,25,25,0,30,140,55,55
      Norwegian,1475,100,0,0,15,0,0,30,0,15
      Swedish,1950,110,0,0,0,0,20,50,0,0
      Afrikaans,3875,180,0,35,0,15,0,100,0,0
      Gaelic languages,640,20,0,0,0,0,0,0,0,0
      Bosnian,680,60,0,0,20,0,0,25,0,0
      Bulgarian,1060,35,0,0,0,0,0,15,0,0
      Croatian,4575,390,0,30,55,110,50,45,85,100
      Czech,2950,215,0,25,50,50,30,45,0,15
      Macedonian,170,0,0,0,0,0,0,0,0,0
      Polish,8795,1315,155,125,165,410,140,135,195,350
      Russian,14190,890,125,50,110,145,110,225,125,250
      Serbian,4165,255,35,35,20,55,15,60,35,75
      Serbo-Croatian,655,35,0,0,0,0,0,0,0,0
      Slovak,1535,175,0,70,0,0,35,15,35,30
      Slovenian,635,105,0,15,0,0,30,30,0,10
      Ukrainian,4735,470,15,55,115,80,45,100,55,70
      Latvian,290,0,0,0,0,0,0,0,0,0
      Lithuanian,175,15,0,0,0,0,0,0,0,0
      Greek,4180,410,0,95,110,30,50,50,70,80
      Armenian,560,70,0,0,0,50,0,0,0,0
      Albanian,730,80,0,0,0,50,0,0,10,15
      Estonian,330,40,0,0,0,0,0,0,0,0
      Finnish,1660,175,0,25,0,0,15,50,70,80
      Hungarian,4995,405,20,55,35,75,95,45,75,95
      Turkish,2880,175,0,0,0,40,50,35,0,35
      Berber languages (Kabyle),0,0,0,0,0,0,0,0,0,0
      Oromo,125,25,0,0,0,15,0,0,0,0
      Somali,390,225,0,0,0,25,160,0,35,40
      Amharic,795,115,0,0,20,50,20,0,20,25
      Arabic,9720,1895,120,55,245,590,400,40,445,560
      Hebrew,2325,80,0,0,0,0,0,20,35,40
      Maltese,85,0,0,0,0,0,0,0,0,0
      Tigrigna,425,75,0,0,0,25,15,0,0,0
"      Semitic languages, n.i.e.",395,205,0,0,0,185,0,0,15,15
      Bengali,1395,235,45,0,35,20,75,0,40,90
      Gujarati,4370,710,10,45,60,60,410,30,90,100
      Hindi,33155,14840,375,500,1770,940,7210,245,3790,4170
      Konkani,160,45,0,0,0,0,20,0,0,0
      Marathi,415,80,0,0,0,25,40,0,0,15
      Panjabi (Punjabi),106660,55210,730,2000,6395,1745,29605,1030,13710,14440
      Sindhi,1055,140,0,20,25,0,50,0,0,20
      Sinhala (Sinhalese),1125,380,25,0,80,95,95,0,70,90
      Urdu,6980,3270,85,70,295,210,2235,70,305,385
      Nepali,545,175,0,0,0,0,80,0,50,55
      Kurdish,850,140,0,0,55,30,30,0,0,15
      Pashto,710,275,0,0,0,0,195,0,55,65
      Persian (Farsi),19665,1090,130,45,190,185,320,125,90,225
"      Indo-Iranian languages, n.i.e.",510,85,0,0,20,0,30,0,0,0
      Kannada,180,35,0,0,0,0,0,0,0,0
      Malayalam,1150,245,20,0,60,30,90,0,15,35
      Tamil,2780,500,0,55,70,60,215,0,90,100
      Telugu,450,75,0,0,30,0,0,0,10,10
      Japanese,14150,740,50,60,115,200,115,85,115,165
      Korean,23835,4045,525,395,840,1635,110,470,70,595
      Cantonese,78905,2710,250,175,615,600,515,215,330,585
      Fukien,1170,25,0,0,0,0,0,0,0,0
      Hakka,410,60,0,0,0,25,0,0,0,0
      Mandarin,66630,6390,540,245,945,2060,835,1440,325,865
      Taiwanese,4120,570,50,0,75,260,50,100,25,70
"      Chinese, n.o.s.",53310,3670,270,170,730,990,410,825,270,540
      Lao,755,385,0,0,115,115,0,0,105,145
      Thai,1425,205,20,0,40,45,30,45,25,50
      Khmer (Cambodian),695,260,25,95,55,25,10,0,45,70
      Vietnamese,14190,3630,255,220,980,855,600,0,695,955
      Bisayan languages,1860,400,45,0,55,85,110,0,85,135
      Ilocano,1565,410,15,120,65,120,40,0,50,70
      Malay,3150,400,40,45,100,65,90,15,45,85
"      Tagalog (Pilipino,Filipino)",39680,8820,685,470,1905,2340,1725,165,1535,2220
      Akan (Twi),245,125,0,0,0,0,60,0,20,30
      Lingala,115,25,0,0,0,0,0,0,0,0
      Rundi (Kirundi),60,15,0,0,0,0,10,0,0,0
      Rwanda (Kinyarwanda),65,30,0,0,0,0,25,0,0,0
      Swahili,1680,255,40,20,35,25,90,25,20,60
"      Bantu languages, n.i.e.",500,40,0,0,0,0,0,0,0,0
"      Niger-Congo languages, n.i.e.",765,290,20,40,20,60,75,0,70,90
"      African languages, n.i.e.",470,170,0,0,0,0,45,0,40,40
      Creoles,750,145,0,0,0,40,60,0,15,15
      Other non-Aboriginal languages,9165,1505,180,140,195,175,230,95,495,670
  Females in private households by non-official languages spoken,717675,122925,5645,6710,17205,16255,44585,9200,23325,28965
    Aboriginal languages,7805,100,0,0,0,30,30,0,10,20
      Algonquin,0,0,0,0,0,0,0,0,0,0
      Atikamekw,0,0,0,0,0,0,0,0,0,0
      Blackfoot,25,0,0,0,0,0,0,0,0,0
      Cree languages,735,45,0,0,0,0,0,0,10,20
      Mi'kmaq,0,0,0,0,0,0,0,0,0,0
      Innu/Montagnais,0,0,0,0,0,0,0,0,0,0
      Ojibway,135,0,0,0,0,0,0,0,0,0
      Oji-Cree,0,0,0,0,0,0,0,0,0,0
      Carrier,970,0,0,0,0,0,0,0,0,0
      Dene,50,0,0,0,0,0,0,0,0,0
      Tlicho (Dogrib),0,0,0,0,0,0,0,0,0,0
"      Slavey, n.o.s.",50,0,0,0,0,0,0,0,0,0
      Stoney,0,0,0,0,0,0,0,0,0,0
      Inuktitut,45,0,0,0,0,0,0,0,0,0
      Other Aboriginal languages,5900,35,0,0,0,0,25,0,0,0
    Non-Aboriginal languages,710015,122825,5635,6715,17195,16225,44555,9190,23310,28945
      Italian,18095,995,25,180,140,155,150,225,120,140
      Portuguese,9410,805,25,105,165,105,110,95,195,225
      Romanian,4375,310,25,40,20,60,70,70,25,60
      Spanish,51615,4570,360,475,540,510,1170,710,815,1175
      Dutch,14455,1295,60,195,285,160,190,320,75,145
      Flemish,340,0,0,0,0,0,0,0,0,0
      German,49495,3205,120,455,380,415,505,1065,270,395
      Yiddish,260,0,0,0,0,0,0,0,0,0
      Danish,3345,240,0,0,35,0,65,130,0,0
      Norwegian,1425,205,0,0,0,0,25,110,15,15
      Swedish,2345,185,0,25,0,15,0,110,25,25
      Afrikaans,3770,200,0,20,0,25,20,115,0,15
      Gaelic languages,550,50,0,0,0,0,0,0,0,0
      Bosnian,635,55,0,0,20,10,0,20,0,0
      Bulgarian,990,10,0,0,0,0,0,0,0,0
      Croatian,4605,345,10,25,40,70,70,80,55,65
      Czech,3055,250,0,20,25,50,65,55,30,40
      Macedonian,180,0,0,0,0,0,0,0,0,0
      Polish,9790,1475,170,130,180,420,175,240,155,325
      Russian,15450,870,150,35,100,110,120,250,100,255
      Serbian,4095,190,20,15,0,35,0,85,20,40
      Serbo-Croatian,845,60,0,0,0,55,0,0,0,0
      Slovak,1785,190,0,55,0,40,35,20,30,30
      Slovenian,635,85,0,20,0,0,30,20,0,0
      Ukrainian,6675,585,35,85,95,90,55,195,35,70
      Latvian,295,20,0,0,0,0,0,0,0,0
      Lithuanian,205,0,0,0,0,0,0,0,0,0
      Greek,3890,435,0,100,95,40,50,70,65,75
      Armenian,690,95,0,45,0,40,0,0,0,0
      Albanian,645,75,0,15,0,45,0,0,0,10
      Estonian,480,30,0,0,0,0,0,25,0,0
      Finnish,2095,155,0,25,0,30,10,30,35,40
      Hungarian,5040,560,45,65,50,95,115,110,85,120
      Turkish,2050,205,0,0,0,30,80,50,0,20
      Berber languages (Kabyle),0,0,0,0,0,0,0,0,0,0
      Oromo,130,15,0,0,0,20,0,0,0,0
      Somali,385,230,0,0,0,15,165,0,35,45
      Amharic,775,100,0,0,20,30,25,0,15,10
      Arabic,7755,1770,170,50,170,600,405,35,340,510
      Hebrew,2175,60,0,0,0,0,0,25,0,0
      Maltese,130,0,0,0,0,0,0,0,0,0
      Tigrigna,420,60,0,0,0,0,0,0,0,0
"      Semitic languages, n.i.e.",325,220,0,0,0,190,0,0,20,20
      Bengali,1150,195,30,0,20,25,50,0,65,95
      Gujarati,4955,745,15,35,75,65,435,25,95,110
      Hindi,33720,15330,410,470,1720,955,7510,275,3995,4400
      Konkani,180,55,0,0,0,0,25,0,0,0
      Marathi,310,30,0,0,0,0,25,0,0,0
      Panjabi (Punjabi),106655,55035,675,1920,6615,1930,29520,990,13390,14065
      Sindhi,1415,145,0,0,30,0,50,20,25,30
      Sinhala (Sinhalese),1100,385,15,30,75,110,85,0,70,85
      Urdu,6395,3190,110,95,295,170,2200,40,290,400
      Nepali,565,175,0,0,0,0,85,0,60,65
      Kurdish,660,90,0,0,40,25,30,0,0,0
      Pashto,560,280,0,0,0,0,225,0,30,40
      Persian (Farsi),20050,885,110,55,145,120,310,50,95,205
"      Indo-Iranian languages, n.i.e.",495,110,0,0,20,0,65,0,0,0
      Kannada,220,35,0,0,0,0,0,0,0,0
      Malayalam,995,175,0,0,35,10,80,0,20,35
      Tamil,2570,395,0,60,70,55,120,0,70,80
      Telugu,405,50,0,0,0,0,0,0,15,15
      Japanese,19310,1020,95,80,160,225,160,170,125,220
      Korean,27305,4080,415,385,770,1760,115,595,40,460
      Cantonese,90095,2970,260,215,535,790,520,390,250,510
      Fukien,1400,50,0,0,0,0,20,0,0,0
      Hakka,715,90,0,0,25,30,0,0,0,0
      Mandarin,77975,7185,575,340,925,2340,845,1735,420,1000
      Taiwanese,4820,680,45,35,70,290,80,130,35,80
"      Chinese, n.o.s.",60910,4015,305,185,760,1070,410,930,355,660
      Lao,840,425,0,0,105,110,25,0,135,180
      Thai,2205,335,20,0,95,45,25,85,35,55
      Khmer (Cambodian),730,265,15,95,60,15,25,0,45,65
      Vietnamese,16625,4195,365,305,975,970,690,0,885,1250
      Bisayan languages,2820,615,95,0,70,145,120,30,135,230
      Ilocano,2755,530,20,95,90,155,85,0,85,105
      Malay,3610,480,60,35,130,90,105,20,35,90
"      Tagalog (Pilipino,Filipino)",60220,11500,965,560,2250,3015,2425,360,1915,2880
      Akan (Twi),280,120,15,0,0,0,45,0,25,45
      Lingala,240,75,0,0,60,0,0,0,0,0
      Rundi (Kirundi),50,0,0,0,0,0,0,0,0,0
      Rwanda (Kinyarwanda),55,0,0,0,0,0,0,0,0,0
      Swahili,1565,275,30,15,45,30,130,25,0,30
"      Bantu languages, n.i.e.",570,50,0,0,0,0,0,0,0,0
"      Niger-Congo languages, n.i.e.",675,230,30,0,0,35,75,0,70,95
"      African languages, n.i.e.",540,285,0,0,0,25,110,0,50,55
      Creoles,770,175,0,0,20,50,65,0,20,35
      Other non-Aboriginal languages,11010,1705,145,200,250,170,305,95,540,690
Total - Mobility status 1 year ago,4282100,458230,21895,53370,57640,57810,129935,66885,70690,92585
  Non-movers,3665455,395880,17255,44575,50960,50020,114465,57380,61225,78485
  Movers,616645,62350,4635,8795,6685,7790,15470,9505,9465,14100
    Non-migrants,347840,37215,2620,4935,4025,4345,10530,4840,5920,8540
    Migrants,268810,25130,2020,3860,2660,3445,4945,4665,3545,5560
      Internal migrants,212385,19125,1535,3580,1950,2600,3200,3745,2510,4050
        Intraprovincial migrants,167280,16195,1415,3090,1765,2350,2480,3155,1940,3355
        Interprovincial migrants,45105,2925,120,490,185,245,720,590,575,690
      External migrants,56425,6010,480,275,705,850,1750,915,1030,1510
  Males - Mobility status 1 year ago,2104325,227230,11160,26360,28540,28650,64595,31940,35990,47150
    Non-movers,1800290,196325,8665,22010,25250,24990,56760,27605,31050,39715
    Movers,304040,30900,2495,4350,3290,3655,7835,4335,4940,7435
      Non-migrants,171220,18520,1375,2500,2115,2075,5295,2160,3005,4375
      Migrants,132820,12385,1120,1845,1175,1585,2540,2180,1935,3055
        Internal migrants,105465,9500,870,1755,905,1220,1610,1720,1430,2295
          Intraprovincial migrants,82870,7970,790,1505,810,1085,1215,1435,1130,1920
          Interprovincial migrants,22590,1530,80,250,90,130,395,290,300,375
        External migrants,27360,2880,255,90,275,365,930,450,505,765
  Females - Mobility status 1 year ago,2177775,231005,10735,27010,29100,29155,65345,34955,34700,45435
    Non-movers,1865170,199555,8590,22565,25710,25025,57710,29780,30175,38770
    Movers,312605,31445,2140,4450,3395,4130,7635,5170,4520,6665
      Non-migrants,176615,18695,1245,2430,1910,2270,5235,2685,2915,4160
      Migrants,135990,12750,900,2010,1485,1865,2405,2485,1605,2500
        Internal migrants,106925,9620,670,1825,1050,1380,1585,2020,1085,1755
          Intraprovincial migrants,84410,8225,630,1585,955,1260,1270,1725,810,1440
          Interprovincial migrants,22515,1395,40,240,100,120,320,300,275,315
        External migrants,29070,3130,230,185,435,480,815,460,520,745
Total - Mobility status 5 years ago,4104195,434010,20715,49690,55025,55380,122080,64415,66705,87420
  Non-movers,2349525,240615,8400,23980,33840,31030,66160,37565,39645,48045
  Movers,1754675,193390,12315,25705,21185,24345,55925,26850,27065,39380
    Non-migrants,888335,109315,5665,14915,12765,12750,34340,13345,15545,21210
    Migrants,866335,84080,6655,10795,8415,11600,21585,13505,11520,18170
      Internal migrants,653285,54175,4305,9310,4835,6745,11755,10645,6580,10885
        Intraprovincial migrants,486835,44655,3635,8090,4070,5490,9645,8330,5405,9040
        Interprovincial migrants,166450,9520,675,1225,765,1255,2110,2315,1175,1845
      External migrants,213045,29905,2350,1485,3585,4855,9835,2865,4940,7285
  Males - Mobility status 5 years ago,2012805,214310,10625,24365,27160,27345,60315,30705,33795,44420
    Non-movers,1149690,119075,4215,11845,16890,15670,32655,17905,19895,24115
    Movers,863120,95235,6405,12525,10270,11670,27660,12800,13895,20305
      Non-migrants,437165,53650,2890,7380,6220,6105,16675,6300,8080,10970
      Migrants,425950,41585,3515,5150,4055,5565,10985,6505,5820,9340
        Internal migrants,323595,26850,2360,4465,2280,3340,5835,5230,3340,5700
          Intraprovincial migrants,239700,21855,1945,3850,1870,2660,4730,4130,2675,4620
          Interprovincial migrants,83900,4995,415,620,410,685,1100,1100,660,1080
        External migrants,102355,14740,1155,680,1775,2225,5150,1270,2480,3640
  Females - Mobility status 5 years ago,2091385,219695,10090,25320,27865,28035,61765,33710,32915,43000
    Non-movers,1199830,121540,4180,12140,16945,15360,33500,19660,19745,23930
    Movers,891550,98155,5910,13185,10915,12675,28260,14050,13165,19070
      Non-migrants,451170,55660,2770,7535,6545,6645,17660,7045,7465,10240
      Migrants,440385,42495,3135,5650,4365,6035,10605,7005,5695,8835
        Internal migrants,329690,27330,1945,4850,2560,3405,5920,5410,3240,5185
          Intraprovincial migrants,247135,22800,1685,4245,2200,2830,4915,4200,2725,4415
          Interprovincial migrants,82560,4525,260,610,360,575,1005,1210,510,770
        External migrants,110695,15170,1190,805,1810,2630,4685,1595,2460,3650
"Total population aged 15 years and over by highest certificate, diploma or degree",3646840,374310,18820,42550,47460,47700,103825,56760,57200,76020
"  No certificate, diploma or degree",607655,71425,3515,5610,9105,8700,22735,6805,14960,18470
  High school diploma or equivalent,1009395,116150,5555,13485,15300,13710,33910,14925,19275,24825
"  Postsecondary certificate, diploma or degree",2029785,186730,9750,23460,23050,25285,47180,35035,22970,32720
    Apprenticeship or trades certificate or diploma,387455,31805,1965,5020,3795,4140,7515,4740,4625,6595
"    College, CEGEP or other non-university certificate or diploma",628120,58505,3080,8390,6960,7115,14040,11040,7875,10960
    University certificate or diploma below bachelor level,208245,25590,1205,2870,3545,3680,6865,3960,3450,4660
"    University certificate, diploma or degree at bachelor level or above",805965,70840,3505,7175,8750,10350,18755,15300,7010,10515
      Bachelor's degree,511240,44755,2340,4805,5790,6950,11510,8985,4370,6710
"      University certificate, diploma or degree above bachelor level",294725,26085,1160,2365,2960,3395,7245,6310,2650,3805
"  Males aged 15 years and over by highest certificate, diploma or degree",1775440,183585,9630,20780,23130,23425,50965,26925,28735,38360
"    No certificate, diploma or degree",305035,34805,1870,2965,4305,4305,10795,3385,7185,9055
    High school diploma or equivalent,475665,56760,2800,6285,7540,6585,16850,6490,10215,13015
"    Postsecondary certificate, diploma or degree",994735,92015,4960,11530,11285,12540,23320,17045,11330,16290
      Apprenticeship or trades certificate or diploma,262245,21340,1345,3625,2540,2715,4770,3115,3235,4580
"      College, CEGEP or other non-university certificate or diploma",260580,24905,1315,3525,3050,3100,6085,4520,3310,4630
      University certificate or diploma below bachelor level,86990,11430,545,1285,1625,1630,3285,1600,1470,2010
"      University certificate, diploma or degree at bachelor level or above",384920,34335,1755,3095,4075,5095,9180,7815,3315,5070
        Bachelor's degree,235620,21095,1205,1990,2680,3195,5565,4410,2045,3250
"        University certificate, diploma or degree above bachelor level",149300,13245,545,1110,1395,1900,3615,3400,1270,1820
"  Females aged 15 years and over by highest certificate, diploma or degree",1871395,190725,9195,21775,24330,24270,52855,29840,28465,37660
