,CITY_CENTRE,CLOVERDALE,FLEETWOOD,GUILDFORD,NEWTON,SOUTH_SURREY,WHALLEY_EXCLUDING_CITY_CENTRE,WHALLEY,CITY_OF_SURREY
"    South Asian, n.i.e.",50,50,440,100,1440,20,1025,1075,3135
  East and Southeast Asian origins,3945,3135,11740,17385,9320,4890,8080,12030,58505
    Burmese,80,0,0,30,10,0,100,190,225
    Cambodian,10,50,90,115,185,0,105,110,555
    Chinese,1425,1280,4805,7035,3710,2695,2910,4335,23860
    Filipino,1275,705,3065,4685,3480,465,3665,4935,17345
    Hmong,0,0,0,0,0,0,0,0,0
    Indonesian,35,30,40,110,110,160,20,55,500
    Japanese,115,315,480,395,445,530,450,560,2725
    Khmer,10,0,70,0,0,0,0,10,75
    Korean,540,435,1755,3705,295,985,180,715,7890
    Laotian,15,0,250,85,35,0,115,130,505
    Malaysian,25,0,115,115,65,60,35,55,415
    Mongolian,0,25,0,10,40,0,25,20,105
    Singaporean,10,0,0,15,0,0,0,10,25
    Taiwanese,70,55,250,755,230,200,30,100,1590
    Thai,10,15,0,110,65,40,55,65,295
    Tibetan,0,15,10,0,10,0,0,0,25
    Vietnamese,525,410,1865,1445,1175,60,1130,1645,6600
"    East or Southeast Asian, n.i.e.",25,0,20,165,75,0,55,80,340
"    Asian, n.o.s.",15,0,0,0,0,0,0,15,15
  Oceania origins,215,345,710,380,2000,435,1635,1855,5730
    Australian,0,120,25,70,70,210,90,95,580
    New Zealander,15,100,95,10,60,125,0,15,395
    Pacific Islands origins,195,140,600,305,1885,115,1545,1740,4785
      Fijian,195,125,570,280,1835,20,1470,1665,4495
      Hawaiian,10,10,20,20,15,15,20,25,100
      Maori,0,15,0,0,15,65,0,0,100
      Polynesian,0,10,0,0,10,0,30,35,60
      Samoan,0,0,10,15,10,10,0,0,40
"      Pacific Islander, n.i.e.",0,0,0,0,0,0,30,30,30
Total income in 2005 of population 15 years and over,14460,29500,40425,41315,85170,50315,51690,66145,312875
  Without income,880,1400,2695,2485,4975,2230,3290,4165,17950
  With income,13580,28105,37725,38830,80200,48080,48395,61980,294920
"    Under $1,000",795,1085,1975,2250,3935,1980,3085,3885,15100
"    $1,000 to $2,999",350,935,1650,1565,2690,1720,1900,2250,10820
"    $3,000 to $4,999",485,620,1390,1590,3150,1400,1665,2150,10300
"    $5,000 to $6,999",585,850,1495,1675,3180,1455,1940,2525,11180
"    $7,000 to $9,999",750,1395,2100,2620,5280,2255,2905,3660,17310
"    $10,000 to $11,999",805,1045,2000,2175,4735,1680,3065,3870,15505
"    $12,000 to $14,999",1100,1570,2475,2445,6020,2475,3745,4840,19830
"    $15,000 to $19,999",1455,2270,3420,3665,7895,3695,5370,6830,27785
"    $20,000 to $24,999",1330,2000,3145,2990,7210,3185,4335,5665,24195
"    $25,000 to $29,999",1080,1850,2405,2670,5690,3010,3450,4535,20155
"    $30,000 to $34,999",1115,2230,2575,2560,5560,2795,3375,4490,20200
"    $35,000 to $39,999",900,1700,2150,2295,4800,2700,2940,3840,17480
"    $40,000 to $44,999",790,1685,2055,2085,4090,2480,2170,2965,15370
"    $45,000 to $49,999",525,1440,1530,1585,3290,2130,1990,2520,12485
"    $50,000 to $59,999",715,2380,2475,2385,4475,3595,2620,3330,18645
"    $60,000 and over",800,5060,4875,4265,8205,11535,3830,4625,38570
  Median income $,21530,30759,23524,22256,22003,31794,20599,20762,23983
  Average income $,25596,37332,31248,30006,29250,47384,26625,26399,32733
  Standard error of average income $,357,450,338,405,241,752,247,208,170
Total income in 2005 of males 15 years and over,7115,14405,19600,20140,41335,23765,25925,33045,152280
  Without income,335,590,1075,1190,1965,1000,1460,1795,7620
  With income,6775,13810,18525,18950,39370,22770,24470,31245,144665
"    Under $1,000",545,540,1145,1180,2125,945,1815,2360,8295
"    $1,000 to $2,999",95,340,650,555,1015,655,700,795,4010
"    $3,000 to $4,999",145,205,505,675,1155,495,665,810,3850
"    $5,000 to $6,999",215,265,490,625,1070,465,630,850,3765
"    $7,000 to $9,999",330,505,800,1120,1910,815,1045,1375,6530
"    $10,000 to $11,999",455,355,770,895,1990,560,1360,1820,6380
"    $12,000 to $14,999",375,475,845,950,2360,755,1500,1875,7270
"    $15,000 to $19,999",545,860,1350,1370,3005,1320,2125,2665,10575
"    $20,000 to $24,999",625,765,1480,1330,3315,1145,1980,2610,10645
"    $25,000 to $29,999",555,765,1150,1270,2775,1170,1760,2315,9445
"    $30,000 to $34,999",575,1040,1350,1315,2710,1105,1860,2435,9955
"    $35,000 to $39,999",480,750,1050,1250,2570,1200,1630,2110,8920
"    $40,000 to $44,999",445,825,1145,1060,2370,1095,1195,1635,8135
"    $45,000 to $49,999",320,845,755,915,2070,1070,1310,1630,7285
"    $50,000 to $59,999",505,1470,1550,1400,3015,2040,1960,2460,11940
"    $60,000 and over",570,3810,3480,3035,5905,7930,2935,3510,27665
  Median income $,25551,40075,30074,27627,27872,43350,26010,25887,30530
  Average income $,28624,46477,37347,36107,35274,62720,31595,30951,40104
  Standard error of average income $,549,779,559,745,425,1371,416,347,302
Total income in 2005 of females 15 years and over,7345,15100,20825,21175,43840,26550,25760,33105,160590
  Without income,545,805,1620,1295,3005,1235,1830,2370,10330
  With income,6800,14295,19205,19880,40830,25315,23925,30730,150260
"    Under $1,000",255,550,825,1065,1800,1035,1275,1535,6805
"    $1,000 to $2,999",255,595,1000,1015,1680,1065,1200,1450,6805
"    $3,000 to $4,999",340,420,885,915,1995,905,1000,1340,6455
"    $5,000 to $6,999",370,585,1005,1050,2110,990,1305,1675,7420
"    $7,000 to $9,999",415,890,1300,1500,3370,1435,1865,2280,10775
"    $10,000 to $11,999",355,685,1235,1280,2745,1125,1700,2055,9125
"    $12,000 to $14,999",725,1095,1625,1500,3660,1715,2245,2970,12565
"    $15,000 to $19,999",910,1415,2070,2295,4890,2380,3250,4160,17215
"    $20,000 to $24,999",705,1235,1670,1655,3895,2040,2350,3055,13550
"    $25,000 to $29,999",530,1085,1255,1395,2910,1840,1695,2225,10710
"    $30,000 to $34,999",540,1190,1220,1245,2845,1690,1515,2055,10245
"    $35,000 to $39,999",420,950,1100,1050,2235,1500,1310,1730,8560
"    $40,000 to $44,999",350,855,910,1025,1715,1390,980,1325,7230
"    $45,000 to $49,999",205,595,775,670,1220,1055,680,890,5200
"    $50,000 to $59,999",210,910,925,985,1460,1550,665,870,6710
"    $60,000 and over",225,1250,1400,1235,2300,3600,895,1120,10900
  Median income $,18611,23492,18948,18359,17977,24900,16845,17213,19282
  Average income $,22579,28498,25365,24191,23442,33591,21541,21771,25636
  Standard error of average income $,444,418,366,329,224,664,247,216,157
Total after-tax income in 2005 of population 15 years and over,14460,29505,40425,41315,85175,50315,51685,66145,312870
  Without after-tax income,890,1410,2695,2470,4980,2255,3295,4190,18005
  With after-tax income,13570,28090,37725,38845,80195,48060,48390,61955,294875
"    Under $1,000",805,1125,1975,2285,3990,2090,3095,3895,15370
"    $1,000 to $2,999",335,945,1680,1580,2680,1725,1900,2230,10850
"    $3,000 to $4,999",505,620,1370,1590,3170,1400,1680,2180,10335
"    $5,000 to $6,999",565,845,1500,1710,3195,1460,1990,2550,11265
"    $7,000 to $9,999",790,1440,2130,2655,5390,2235,2925,3720,17570
"    $10,000 to $11,999",825,1080,2045,2235,4900,1825,3140,3970,16055
"    $12,000 to $14,999",1145,1665,2715,2715,6460,2515,4015,5165,21230
"    $15,000 to $19,999",1790,2690,3960,4055,9235,4355,6085,7875,32170
"    $20,000 to $24,999",1520,2380,3635,3470,8115,3885,4920,6440,27920
"    $25,000 to $29,999",1300,2600,3015,3295,6810,3605,4100,5405,24740
"    $30,000 to $34,999",1280,2335,3025,3135,6490,3545,3900,5180,23715
"    $35,000 to $39,999",970,2185,2315,2495,5195,3080,3030,4005,19275
"    $40,000 to $44,999",540,1705,1920,1965,3715,2825,2255,2795,14930
"    $45,000 to $49,999",430,1590,1570,1415,2810,2340,1790,2220,11935
"    $50,000 and over",775,4890,4870,4235,8035,11160,3555,4330,37525
  Median after-tax income $,20043,27466,21777,20893,20622,28404,19524,19636,22085
  Average after-tax income $,22610,31328,26848,25836,25255,37749,23292,23142,27706
  Standard error of average after-tax income $,289,323,258,307,181,494,187,159,120
After-tax income in 2005 of males 15 years and over,7115,14405,19600,20140,41330,23765,25925,33045,152285
  Without after-tax income,340,605,1075,1180,1975,1005,1460,1795,7635
  With after-tax income,6775,13800,18525,18965,39360,22755,24465,31245,144650
"    Under $1,000",555,560,1150,1195,2160,990,1815,2370,8430
"    $1,000 to $2,999",85,350,650,560,1015,655,700,785,4020
"    $3,000 to $4,999",155,200,515,685,1150,505,675,825,3890
"    $5,000 to $6,999",205,250,490,630,1075,470,650,850,3775
"    $7,000 to $9,999",350,535,810,1160,1950,795,1075,1430,6675
"    $10,000 to $11,999",460,355,785,875,2035,610,1415,1870,6530
"    $12,000 to $14,999",380,520,955,1125,2510,755,1535,1910,7780
"    $15,000 to $19,999",775,1000,1680,1490,3625,1575,2560,3330,12705
"    $20,000 to $24,999",690,995,1695,1680,3915,1360,2350,3045,12685
"    $25,000 to $29,999",700,1175,1475,1660,3415,1510,2165,2860,12095
"    $30,000 to $34,999",695,1050,1655,1635,3480,1530,2200,2885,12250
"    $35,000 to $39,999",530,1160,1090,1300,2965,1475,1675,2205,10195
"    $40,000 to $44,999",350,980,1155,1095,2435,1505,1615,1960,9125
"    $45,000 to $49,999",320,995,955,860,1865,1335,1360,1685,7695
"    $50,000 and over",530,3665,3465,3000,5765,7690,2690,3225,26805
  Median after-tax income $,23120,34697,26784,25249,25440,36621,23944,23774,27339
  Average after-tax income $,24886,38005,31448,30430,29806,48366,27086,26609,33110
  Standard error of average after-tax income $,446,536,420,559,315,880,308,261,207
After-tax income in 2005 of females 15 years and over,7345,15100,20825,21175,43840,26550,25760,33100,160590
  Without after-tax income,550,805,1625,1295,3005,1250,1835,2385,10365
  With after-tax income,6795,14295,19205,19880,40835,25300,23920,30715,150225
"    Under $1,000",250,560,825,1090,1835,1105,1275,1525,6945
"    $1,000 to $2,999",250,595,1030,1025,1670,1075,1195,1445,6825
"    $3,000 to $4,999",350,415,855,910,2020,895,1005,1355,6445
"    $5,000 to $6,999",360,600,1015,1080,2120,985,1340,1705,7490
"    $7,000 to $9,999",440,905,1325,1490,3440,1435,1850,2290,10890
"    $10,000 to $11,999",365,725,1265,1355,2865,1215,1725,2095,9525
"    $12,000 to $14,999",765,1145,1755,1585,3945,1760,2485,3250,13450
"    $15,000 to $19,999",1015,1690,2275,2565,5615,2785,3525,4540,19465
"    $20,000 to $24,999",825,1380,1930,1790,4200,2530,2575,3395,15230
"    $25,000 to $29,999",610,1425,1545,1635,3395,2100,1940,2545,12640
"    $30,000 to $34,999",585,1280,1370,1500,3010,2010,1705,2295,11465
"    $35,000 to $39,999",435,1025,1230,1195,2225,1605,1360,1800,9080
"    $40,000 to $44,999",190,725,765,875,1285,1320,640,835,5805
"    $45,000 to $49,999",105,595,615,555,940,1005,425,535,4240
"    $50,000 and over",240,1225,1405,1235,2270,3465,865,1105,10720
  Median after-tax income $,18002,21735,17991,17602,17193,22584,16330,16660,18345
  Average after-tax income $,20339,24883,22412,21455,20868,28198,19411,19616,22504
  Standard error of average after-tax income $,359,335,288,263,174,468,199,174,117
Total population 15 years and over with employment income,9665,23015,29155,28900,62500,33865,36665,46335,223770
    Median employment income in 2005 $,24811,32131,27225,25735,23785,31210,22627,23075,25981
    Average employment income in 2005 $,27797,37995,33640,32385,30395,47976,28180,28100,34042
    Standard error of average employment income $,438,464,401,504,285,953,294,250,202
"  Worked full year, full time",4720,12940,14435,13940,29290,16065,16425,21145,107815
    Median employment income in 2005 $,35428,45109,41679,39745,37780,54190,35942,35818,40402
    Average employment income in 2005 $,37581,51528,47963,46345,43078,71427,40138,39567,48705
    Standard error of average employment income $ ,617,646,619,863,420,1520,469,391,319
  Worked part year or part time,4325,8870,12850,12780,28785,14510,17515,21840,99635
    Median employment income in 2005 $,15000,14942,14796,13050,14077,14926,14274,14394,14270
    Average employment income in 2005 $,19336,22175,20916,20308,20445,30781,19721,19645,21972
    Standard error of average employment income $,511,501,421,462,382,1241,336,288,243
Males 15 years and over with employment income,5125,11765,15230,14965,32510,17275,19535,24665,116405
    Median employment income in 2005 $,28658,41922,32184,30177,29871,41698,28840,28830,32045
    Average employment income in 2005 $,30655,47055,39307,38526,36406,61979,33203,32673,41138
    Standard error of average employment income $,632,748,625,890,476,1605,472,397,337
"  Worked full year, full time",2785,7610,8450,8160,17500,9835,9835,12620,64170
    Median employment income in 2005 $,36135,52128,45845,42924,41576,61649,39776,38939,45320
    Average employment income in 2005 $,38575,58637,52846,51850,47668,82060,44359,43082,54550
    Standard error of average employment income $,840,941,904,1402,622,2074,697,577,464
  Worked part year or part time,2060,3665,5995,5830,13260,6005,8535,10595,45345
    Median employment income in 2005 $,16938,18436,16892,14663,17094,14960,17570,17470,16657
    Average employment income in 2005 $,22018,27817,23926,23744,24688,41011,23207,22975,26481
    Standard error of average employment income $,823,974,672,858,748,2715,579,494,479
Females 15 years and over with employment income,4535,11250,13925,13930,29990,16590,17130,21670,107365
    Median employment income in 2005 $,20771,25002,22121,20649,18205,24736,17847,18573,20255
    Average employment income in 2005 $,24567,28525,27444,25790,23880,33397,22451,22894,26348
    Standard error of average employment income $,585,473,461,395,273,930,306,272,198
"  Worked full year, full time",1935,5330,5980,5780,11790,6235,6590,8525,43645
    Median employment income in 2005 $,33644,38008,37692,36425,32906,46190,31576,32069,35929
    Average employment income in 2005 $,36151,41378,41061,38581,36266,54663,33840,34365,40111
    Standard error of average employment income $,892,707,732,594,456,2082,498,436,377
  Worked part year or part time,2265,5205,6855,6950,15525,8505,8980,11250,54290
    Median employment income in 2005 $,13738,13125,13311,11990,12119,14816,12225,12483,12766
    Average employment income in 2005 $,16896,18201,18282,17429,16820,23556,16412,16509,18206
    Standard error of average employment income $,610,488,519,443,294,816,350,305,194
Total population by immigrant status and place of birth,17320,37705,50795,51655,109475,59935,65560,82880,392450
  Non-immigrant population,10240,30460,29170,28525,59275,45130,35825,46060,238620
    Born in province of residence,6685,22600,22770,20980,46440,27445,28215,34900,175140
    Born outside province of residence,3555,7860,6395,7545,12835,17685,7605,11160,63485
  Total immigrants by selected places of birth,6810,7085,21090,22195,49380,14470,29200,36005,150230
    United Kingdom,385,1160,1340,1105,2380,3860,880,1270,11110
"    China, People's Republic of",475,240,830,1855,700,630,485,960,5220
    India,720,1415,6230,1820,28080,665,13700,14420,52635
    Philippines,1025,425,2055,3425,2665,300,2740,3765,12640
    Italy,25,175,180,180,165,120,165,190,1005
    United States of America,125,300,250,485,785,1055,440,560,3435
"    Hong Kong, Special Administrative Region",130,85,540,350,395,145,195,330,1845
    Germany,105,190,295,415,580,910,340,445,2835
    Poland,315,95,270,515,390,250,310,625,2145
    Viet Nam,465,270,1380,1125,875,95,875,1335,5075
    Portugal,0,60,195,105,190,70,190,195,805
    Pakistan,35,45,355,215,2340,60,770,805,3825
    Jamaica,60,30,60,65,115,25,90,150,445
    Netherlands,40,265,390,215,235,485,210,245,1820
    Sri Lanka,15,35,300,180,165,20,90,100,795
"    Korea, South",350,315,1230,2765,185,755,125,475,5720
    Iran,55,0,75,210,130,95,75,125,640
    Guyana,15,50,10,70,60,45,45,50,300
    Romania,45,60,30,180,105,60,100,145,585
    France,30,10,15,35,30,100,10,40,230
    Lebanon,25,20,75,115,105,30,25,50,395
    Greece,20,40,80,85,35,40,55,75,355
    Trinidad and Tobago,20,45,60,60,70,20,45,65,325
    Taiwan,120,185,825,2170,610,825,205,320,4935
    Russian Federation,75,15,80,55,50,110,30,105,415
    Haiti,15,25,0,0,0,10,0,15,50
    Ukraine,30,25,65,105,70,165,90,120,545
    Mexico,65,10,50,60,55,95,60,125,395
    Hungary,70,25,55,130,80,95,130,195,585
    El Salvador,125,20,95,240,345,0,275,400,1100
    Egypt,25,0,35,35,10,15,120,140,235
    Croatia,35,15,70,130,65,80,65,100,455
    Colombia,50,25,60,40,40,35,40,95,295
    Morocco,0,0,0,10,15,15,20,20,60
"    South Africa, Republic of",50,140,30,100,100,425,65,115,915
"    Yugoslavia, n.o.s.",25,20,0,85,50,85,80,110,350
    Afghanistan,15,20,110,50,245,0,155,170,600
    Iraq,10,0,20,255,50,0,0,20,340
    Bangladesh,0,0,30,45,65,0,65,60,205
    Algeria,0,0,0,10,20,10,10,10,50
    Bosnia and Herzegovina,25,15,95,100,115,155,60,85,560
    Chile,50,0,10,25,45,45,15,65,195
    Serbia and Montenegro,20,30,10,50,10,80,10,25,200
    Fiji,360,140,915,495,3295,45,3335,3690,8585
    Kenya,10,55,15,60,230,60,105,115,540
    Ireland (Eire),0,35,40,60,50,120,60,70,375
    Peru,0,25,35,25,65,40,10,0,200
    Czech Republic,0,30,85,75,60,120,65,75,445
    Malaysia,100,35,175,180,190,95,75,175,860
    Japan,45,50,115,95,45,165,90,135,610
    Israel,0,0,25,30,15,15,15,10,100
    Austria,10,75,20,50,40,110,30,40,335
    Belgium,0,60,10,20,0,25,15,20,130
    Cambodia,0,25,110,50,90,0,95,95,365
    Switzerland,15,15,30,40,30,60,30,45,225
    Other country,985,625,1615,1765,2425,1530,1825,2815,10775
  Non-permanent residents,275,160,535,940,820,335,540,810,3600
Total recent immigrants by selected places of birth,1555,950,3030,5070,10795,1850,5980,7535,29235
"  China, People's Republic of",155,15,185,710,165,235,110,255,1570
  India,195,225,1065,310,6990,75,3375,3570,12235
  Philippines,325,120,375,1420,810,35,640,970,3730
  Pakistan,20,0,50,50,865,10,360,375,1345
  United States of America,20,95,40,75,155,210,140,155,720
"  Korea, South",65,125,460,990,35,425,35,100,2135
  Romania,10,10,0,30,25,15,35,50,125
  Iran,10,0,10,20,15,10,35,40,100
  United Kingdom,0,45,50,20,145,165,10,10,435
  Colombia,15,0,0,35,15,0,35,50,115
  Sri Lanka,10,0,25,50,60,0,20,25,165
  Russian Federation,25,0,10,30,30,25,0,25,120
  France,0,0,0,0,0,0,0,0,0
  Mexico,30,0,25,40,0,55,0,40,160
  Afghanistan,0,0,30,25,45,0,85,85,195
  Algeria,0,0,0,0,0,0,0,0,0
  Ukraine,15,0,10,40,10,15,60,75,150
  Morocco,0,0,0,0,0,0,0,0,0
  Bangladesh,0,0,0,10,45,0,35,35,95
  Lebanon,0,0,0,20,0,25,0,0,45
  Taiwan,25,20,215,260,180,170,0,30,865
  Haiti,0,0,0,0,0,0,0,0,0
  Viet Nam,40,15,100,115,55,10,35,75,370
  Iraq,0,0,10,80,0,0,0,0,90
  Jamaica,15,0,0,0,20,0,0,15,30
  Bulgaria,40,0,25,0,0,0,0,40,65
  Germany,10,0,0,25,10,10,15,15,50
"  Hong Kong, Special Administrative Region",0,10,10,20,10,15,10,15,65
  Nigeria,35,0,15,0,45,0,60,95,150
  Guyana,0,0,0,0,0,0,0,0,0
"  Congo, Democratic Republic of the",10,10,0,0,0,0,30,40,50
  Egypt,15,0,0,20,0,0,0,15,35
  Ethiopia,55,0,0,0,0,0,0,55,55
"  South Africa, Republic of",0,80,0,10,30,60,0,0,190
  Poland,25,10,0,15,10,10,20,45,80
  Sudan,110,0,0,50,0,0,0,110,155
  Argentina,0,0,0,0,0,0,0,10,10
  Japan,10,20,0,10,0,10,10,15,65
  Albania,0,0,0,0,0,0,0,0,0
  Peru,0,0,0,0,10,0,0,0,10
  Brazil,0,0,0,0,0,0,10,10,15
  Israel,0,0,25,0,0,0,0,0,25
  Serbia and Montenegro,0,10,0,10,0,35,0,0,50
  Syria,0,0,25,15,10,0,0,0,45
  Saudi Arabia,20,0,95,30,65,0,0,20,205
  All other places of birth,250,130,180,565,965,220,810,1055,3125
Total number of children at home,4845,13150,19080,18915,40315,18010,23795,28640,138115
  Under six years of age,1100,3110,3495,3420,9550,3005,5320,6425,29005
  6 to 14 years,1725,4975,6730,6835,14545,6550,8415,10140,49780
  15 to 17 years,505,1605,2520,2465,4345,2715,2715,3220,16870
  18 to 24 years,890,2435,4170,4130,8045,4130,4700,5595,28510
  25 years and over,615,1020,2165,2070,3825,1610,2645,3265,13950
Total number of persons in private households,17170,37690,50640,51645,109445,59810,65490,82660,391900
  Number of persons not in census families,4525,3855,4740,6415,11290,7655,8055,12570,46525
    Living with relatives,545,925,1620,1490,3605,1025,2380,2930,11590
    Living with non-relatives only,1005,845,960,1275,2205,1075,1985,2990,9340
    Living alone,2970,2090,2165,3650,5480,5555,3685,6650,25595
  Number of census family persons,12640,33835,45900,45230,98155,52160,57440,70085,345375
Total number of persons aged 65 years and over,1930,3430,5030,4780,10300,11855,6095,8030,43425
  Number of persons not in census families aged 65 years and over,985,1070,1570,1505,3220,3920,1955,2940,14225
    Living with relatives,130,325,730,470,1575,470,880,1005,4575
    Living with non-relatives only,70,40,60,100,120,145,120,190,650
    Living alone,780,710,785,935,1520,3310,955,1745,9000
  Number of census family persons aged 65 years and over,950,2360,3455,3275,7080,7935,4140,5095,29200
Total population 15 years and over by presence of children and labour force activity,14305,29490,40270,41305,85145,50195,51620,65925,312325
  In the labour force,9550,21750,27990,27505,58910,30115,34925,44485,210760
    Employed,8935,20910,26470,25915,55315,28850,32350,41280,198730
    Unemployed,615,845,1520,1595,3600,1265,2585,3205,12025
  Not in the labour force,4750,7740,12275,13800,26235,20075,16695,21445,101570
Participation rate,66.8,73.8,69.5,66.6,69.2,60,67.7,67.5,67.5
Employment rate,62.5,70.9,65.7,62.7,65,57.5,62.7,62.6,63.6
Unemployment rate,6.4,3.9,5.4,5.8,6.1,4.2,7.4,7.2,5.7
Population 15 years and over in private households with no children at home,9725,16545,21860,23440,47090,32400,28940,38660,179990
  In the labour force,6200,11030,13110,13910,28705,16130,17265,23465,106360
    Employed,5810,10550,12170,12910,26845,15200,15770,21575,99250
    Unemployed,385,490,935,1005,1865,935,1500,1885,7110
  Not in the labour force,3525,5505,8745,9530,18385,16265,11670,15200,73635
Participation rate,63.8,66.7,60,59.3,61,49.8,59.7,60.7,59.1
Employment rate,59.7,63.8,55.7,55.1,57,46.9,54.5,55.8,55.1
Unemployment rate,6.2,4.4,7.1,7.2,6.5,5.8,8.7,8,6.7
Population 15 years and over in private households with children at home,4580,12950,18410,17865,38050,17795,22680,27260,132335
  In the labour force,3360,10720,14880,13595,30205,13980,17660,21015,104395
    Employed,3125,10365,14295,13005,28465,13650,16575,19700,99480
    Unemployed,230,355,580,590,1740,335,1080,1315,4915
  Not in the labour force,1225,2230,3530,4270,7845,3810,5020,6240,27935
Participation rate,73.4,82.8,80.8,76.1,79.4,78.6,77.9,77.1,78.9
Employment rate,68.2,80,77.6,72.8,74.8,76.7,73.1,72.3,75.2
Unemployment rate,6.8,3.3,3.9,4.3,5.8,2.4,6.1,6.3,4.7
Population 15 years and over in private households with children under 6 years only,855,2680,2750,2520,7790,2440,4330,5185,23360
  In the labour force,640,2205,2265,1970,6465,1990,3500,4140,19035
    Employed,585,2125,2130,1810,5955,1945,3240,3825,17785
    Unemployed,55,85,135,165,510,45,260,315,1255
  Not in the labour force,210,470,485,550,1320,450,830,1045,4325
Participation rate,74.9,82.3,82.4,78.2,83,81.6,80.8,79.8,81.5
Employment rate,68.4,79.3,77.5,71.8,76.4,79.7,74.8,73.8,76.1
Unemployment rate,8.6,3.9,6,8.4,7.9,2.3,7.4,7.6,6.6
Population 15 years and over in private households with children under 6 years as well as children 6 years and over,625,1765,2335,2310,5745,1775,3245,3870,17795
  In the labour force,500,1505,1935,1700,4575,1315,2635,3130,14165
    Employed,450,1435,1865,1605,4345,1270,2480,2930,13440
    Unemployed,50,75,75,90,230,45,155,205,720
  Not in the labour force,120,265,395,610,1165,460,610,735,3630
Participation rate,80,85.3,82.9,73.6,79.6,74.1,81.2,80.9,79.6
Employment rate,72,81.3,79.9,69.5,75.6,71.5,76.4,75.7,75.5
Unemployment rate,10,5,3.9,5.3,5,3.4,5.9,6.5,5.1
Population 15 years and over in private households with children 6 years and over only,3105,8505,13330,13035,24520,13580,15105,18210,91175
  In the labour force,2215,7005,10685,9925,19160,10680,11525,13740,71195
    Employed,2090,6805,10305,9590,18165,10435,10860,12950,68255
    Unemployed,125,200,380,335,995,240,665,795,2945
  Not in the labour force,890,1500,2645,3110,5355,2900,3575,4465,19980
Participation rate,71.3,82.4,80.2,76.1,78.1,78.6,76.3,75.5,78.1
Employment rate,67.3,80,77.3,73.6,74.1,76.8,71.9,71.1,74.9
Unemployment rate,5.6,2.9,3.6,3.4,5.2,2.2,5.8,5.8,4.1
Males 15 years and over in private households - Presence of children and labour force activity,7055,14395,19570,20130,41310,23695,25880,32940,152040
  In the labour force,5085,11320,14735,14435,31480,15710,19075,24160,111845
    Employed,4810,10945,14040,13725,30140,15110,17915,22720,106675
    Unemployed,275,375,695,715,1340,605,1165,1440,5175
  Not in the labour force,1975,3075,4835,5695,9830,7985,6800,8775,40190
Participation rate,72.1,78.6,75.3,71.7,76.2,66.3,73.7,73.3,73.6
Employment rate,68.2,76,71.7,68.2,73,63.8,69.2,69,70.2
Unemployment rate,5.4,3.3,4.7,5,4.3,3.9,6.1,6,4.6
Males 15 years and over in private households with no children at home,5190,8325,10935,12005,23685,15395,15325,20515,90855
  In the labour force,3540,5840,7055,7515,15865,8470,9910,13455,58200
    Employed,3335,5565,6535,6995,14920,7965,9080,12415,54395
    Unemployed,210,275,520,520,945,505,825,1040,3805
  Not in the labour force,1645,2480,3880,4490,7820,6920,5420,7060,32655
Participation rate,68.2,70.2,64.5,62.6,67,55,64.7,65.6,64.1
Employment rate,64.3,66.8,59.8,58.3,63,51.7,59.2,60.5,59.9
Unemployment rate,5.9,4.7,7.4,6.9,6,6,8.3,7.7,6.5
Males 15 years and over in private households with children at home,1865,6070,8640,8130,17625,8300,10550,12420,61180
  In the labour force,1540,5480,7680,6925,15620,7240,9170,10710,53650
    Employed,1475,5375,7500,6730,15225,7135,8835,10305,52280
    Unemployed,65,100,180,190,390,100,335,405,1370
  Not in the labour force,325,590,955,1205,2010,1060,1385,1710,7530
Participation rate,82.6,90.3,88.9,85.2,88.6,87.2,86.9,86.2,87.7
Employment rate,79.1,88.6,86.8,82.8,86.4,86,83.7,83,85.5
Unemployment rate,4.2,1.8,2.3,2.7,2.5,1.4,3.7,3.8,2.6
Males 15 years and over in private households with children under 6 years only,375,1300,1320,1180,3720,1180,2055,2430,11130
  In the labour force,335,1215,1260,1110,3565,1140,1910,2245,10535
    Employed,315,1195,1245,1080,3475,1130,1865,2180,10310
    Unemployed,15,20,10,30,90,10,45,60,225
  Not in the labour force,45,80,60,65,160,45,145,185,595
Participation rate,89.3,93.5,95.5,94.1,95.8,96.6,92.9,92.4,94.7
Employment rate,84,91.9,94.3,91.5,93.4,95.8,90.8,89.7,92.6
Unemployment rate,4.5,1.6,0.8,2.7,2.5,0.9,2.4,2.7,2.1
Males 15 years and over in private households with children under 6 years as well as children 6 years and over,240,835,1130,1060,2735,855,1525,1765,8380
  In the labour force,225,800,1050,910,2565,790,1425,1650,7765
    Employed,220,790,1040,885,2520,780,1395,1615,7625
    Unemployed,10,10,15,30,45,10,30,40,145
  Not in the labour force,15,35,75,150,170,70,100,110,615
Participation rate,93.8,95.8,92.9,85.8,93.8,92.4,93.4,93.5,92.7
Employment rate,91.7,94.6,92,83.5,92.1,91.2,91.5,91.5,91
Unemployment rate,4.4,1.2,1.4,3.3,1.8,1.3,2.1,2.4,1.9
Males 15 years and over in private households with children 6 years and over only,1250,3930,6190,5890,11170,6260,6975,8225,41670
  In the labour force,980,3460,5370,4900,9485,5320,5835,6815,35350
    Employed,940,3390,5215,4765,9220,5235,5575,6510,34345
    Unemployed,45,70,150,130,265,85,260,300,1000
  Not in the labour force,265,470,815,990,1680,950,1145,1410,6320
